id,question_en,question_ru,answer_en,answer_ru,tags,sources,safety_level
578,How to protect children from mosquito bites?,Bachon ko machar ke kaat se kaise bachayen?,"Use age-appropriate repellents, long clothing, screens/bed nets, and remove standing water weekly. (tip 5)","Umar ke mutabiq repellent, lambe kapray, jhalian/bed nets, aur har hafta ruka pani khatam karein. (rehnumai 5)",pediatrics;prevention,WHO/CDC guidance; Public health guidance,general
579,Dengue in pregnancy—any special care?,Hamal me dengue—khas ehtiyat kya hai?,"Pregnancy needs closer monitoring, hydration, avoidance of NSAIDs, and coordination with obstetric care. (tip 6)","Hamal me qareebi nigrani, hydration, NSAIDs se parhez, aur obstetric care ke sath raptah darkar hota hai. (rehnumai 6)",pregnancy;triage,WHO/CDC guidance; Public health guidance,urgent-care
580,Can dengue occur more than once?,Kya dengue dobara ho sakta hai?,Yes. Different serotypes exist; later infections can be more severe—continue prevention even after recovery. (tip 7),Haan. Mukhtalif serotypes hain; dobara infection zyada shadeed ho sakta hai—sehat ke baad bhi bachav jari rakhein. (rehnumai 7),immunity;risks,WHO/CDC guidance; Public health guidance,general
581,What are early symptoms of dengue?,Dengue ke ibtidaai alamat kya hain?,"Early symptoms include high fever, severe headache, pain behind the eyes, muscle and joint aches, nausea/vomiting, and sometimes rash. Watch closely from days 3–7 when warning signs can appear. (tip 1)","Ibtidaai alamat me tez bukhar, shadeed sar dard, aankh ke peeche dard, joron aur pathon ka dard, ulti/ghabrahat aur kabhi kabhi rash shamil hain. Din 3–7 me khatwarning alamat par nazar rakhein. (rehnumai 1)",symptoms,WHO/CDC guidance; Public health guidance,general
582,What are dengue warning signs that need urgent care?,Kon si khatwarning alamat me foran doctor ko dikhana chahiye?,"Warning signs: severe abdominal pain, persistent vomiting, bleeding (nose/gums, black stools, vomiting blood), fast breathing, extreme tiredness or restlessness, enlarged liver. Seek urgent care. (tip 2)","Khatwarning alamat: shadeed pait ka dard, lagatar ulti, khoon (naak/masoodon se, kaala paikhana, ulti me khoon), tez saans, had se zyada thakan ya bechaini, jigar barhna. Foran doctor ko dikhayen. (rehnumai 2)",warning_signs;triage,WHO/CDC guidance; Public health guidance,urgent-care
583,When should I do the NS1 test for dengue?,Dengue ka NS1 test kis din karwana chahiye?,"NS1 antigen is most useful in illness days 1–5; after that, IgM/IgG or PCR timing should guide testing. (tip 3)",NS1 antigen pehle 1–5 din me sab se mufeed hota hai; is ke baad IgM/IgG ya PCR ke waqt ke mutabiq test hota hai. (rehnumai 3),diagnosis;tests,WHO/CDC guidance; Public health guidance,general
584,Which pain medicine is safe in dengue?,Dengue me kaunsi dard ki dawai mehfooz hai?,"Use paracetamol/acetaminophen as directed. Avoid aspirin, ibuprofen, naproxen and other NSAIDs due to bleeding risk. (tip 4)","Paracetamol/acetaminophen istemal karein. Aspirin, ibuprofen, naproxen aur doosray NSAIDs se parhez kyun ke bleeding ka khatra hota hai. (rehnumai 4)",medications;pain_fever_meds,WHO/CDC guidance; Public health guidance,general
585,How should I hydrate at home with dengue?,Dengue me ghar par pani kaise pura karun?,"Take small frequent sips of oral rehydration solution, water, soups and juices. Track urine color and frequency. (tip 5)","Choti choti matra me baar baar ORS, pani, yakhni aur juices lein. Peshab ka rang aur martaba note karein. (rehnumai 5)",hydration;home_care,WHO/CDC guidance; Public health guidance,general
586,What is the critical phase in dengue?,Dengue me critical phase kya hoti hai?,The 24–48 hours after the fever starts to fall (usually days 3–7). Monitor for warning signs and keep fluids adequate. (tip 6),Bukhar kam honay ke 24–48 ghante (aksar din 3–7) critical phase hoti hai. Khatwarning alamat dekhein aur maye barqarar rakhein. (rehnumai 6),timeline;warning_signs,WHO/CDC guidance; Public health guidance,urgent-care
587,Do I need platelet transfusion in dengue?,Kya dengue me platelet transfusion zaruri hota hai?,"Not routinely. Transfusion decisions depend on active bleeding and clinical judgment, not just the count number. (tip 7)",Aksar nahi. Transfusion ka faisla sirf number par nahi balkeh khuni alamat aur clinical faislay par hota hai. (rehnumai 7),laboratory;platelets,WHO/CDC guidance; Public health guidance,urgent-care
588,Which mosquito spreads dengue and when do they bite?,Dengue kis machar se hota hai aur ye kab kaat-te hain?,"Aedes aegypti/albopictus spread dengue. They bite in daytime, especially early morning and late afternoon—use repellents. (tip 1)","Aedes aegypti/albopictus dengue phailate hain. Ye din me kaat-te hain, khas tor par subah jaldi aur shaam—repellent lagayen. (rehnumai 1)",prevention;vector,WHO/CDC guidance; Public health guidance,general
589,How to remove breeding sites at home?,Ghar me breeding jagon ko kaise khatam karen?,"Weekly: empty/scrub/cover water containers, clear gutters, change vase water, check coolers and tires. (tip 2)","Har hafta: bartanon ko khali/saaf/dhak dein, naliyan saaf karein, phooldan ka pani badlein, coolers aur tyres check karein. (rehnumai 2)",mosquito_control;household,WHO/CDC guidance; Public health guidance,general
590,Is there a specific cure or antiviral for dengue?,Kya dengue ka koi khaas ilaaj ya antiviral hai?,"No specific routine antiviral. Supportive care (fluids, monitoring, treating complications) is the mainstay. (tip 3)","Koi khaas routine antiviral nahi. Supportive care (maye, nigrani, complications ka ilaj) bunyadi hai. (rehnumai 3)",treatment;supportive_care,WHO/CDC guidance; Public health guidance,general
591,Is rash required for dengue diagnosis?,Kya dengue me rash hona zaruri hai?,No. Many patients have rash but not all; rely on overall assessment and appropriate tests. (tip 4),Nahi. Bohat se mareezon me rash hota hai magar sab me nahi; kul muaina aur munasib tests par bharosa karein. (rehnumai 4),diagnosis;symptoms,WHO/CDC guidance; Public health guidance,general
592,What foods are suitable during dengue?,Dengue me kaunsi ghiza munasib hai?,"Light meals, soups, fruits, and easy-to-digest foods. Prioritize fluids; avoid very sugary or caffeinated drinks if they upset the stomach. (tip 5)","Halka khana, yakhni, phal aur asani se hazm honay wali ghiza. Maye ko ahmiyat dein; bohat meetha ya caffeine pait kharab kare to parhez karein. (rehnumai 5)",nutrition;hydration,WHO/CDC guidance; Public health guidance,general
593,When should I go to hospital for dengue?,Dengue me kab hospital jana chahiye?,"If any warning signs appear, if you cannot keep fluids down, have bleeding, severe abdominal pain, drowsiness, or breathing difficulty. (tip 6)","Agar khatwarning alamat aaen, maye na rukain, khoon aaye, shadeed pait dard, neend/susti ya saans me dushwari ho to hospital jayen. (rehnumai 6)",warning_signs;triage,WHO/CDC guidance; Public health guidance,urgent-care
594,Is dengue contagious person-to-person?,Kya dengue seedha aik se doosray insan ko lagta hai?,"Dengue spreads via mosquito bites, not normal casual contact. (tip 7)","Dengue aam mulaqat se nahi, balkay machhar ke kaat se phailta hai. (rehnumai 7)",transmission,WHO/CDC guidance; Public health guidance,general
595,Can I use ibuprofen or aspirin in dengue?,Kya dengue me ibuprofen ya aspirin le sakta hoon?,Avoid ibuprofen/aspirin/other NSAIDs due to bleeding risk. Use paracetamol for fever/pain as directed. (tip 1),Ibuprofen/aspirin/NSAIDs se parhez kyun ke bleeding ka khatra barhta hai. Bukhar/dard ke liye paracetamol istemal karein. (rehnumai 1),medications;contraindicated,WHO/CDC guidance; Public health guidance,general
596,How do doctors monitor labs in dengue?,Doctors dengue me kaun se labs dekhte hain?,"Complete blood count (hematocrit, platelets) and basic chemistries; trends are more important than a single value. (tip 2)","CBC (hematocrit, platelets) aur bunyadi chemistries; aik value se ziyada rawayya (trend) aham hai. (rehnumai 2)",laboratory;monitoring,WHO/CDC guidance; Public health guidance,general
597,What is severe dengue?,Severe dengue kya hota hai?,"Severe dengue involves plasma leakage, bleeding, or organ involvement that may lead to shock—this is a medical emergency. (tip 3)","Severe dengue me plasma leakage, bleeding ya aza ka masla hota hai jo shock tak le ja sakta hai—ye medical emergency hai. (rehnumai 3)",severe;emergency,WHO/CDC guidance; Public health guidance,emergency
598,How to protect children from mosquito bites?,Bachon ko machar ke kaat se kaise bachayen?,"Use age-appropriate repellents, long clothing, screens/bed nets, and remove standing water weekly. (tip 4)","Umar ke mutabiq repellent, lambe kapray, jhalian/bed nets, aur har hafta ruka pani khatam karein. (rehnumai 4)",pediatrics;prevention,WHO/CDC guidance; Public health guidance,general
599,Dengue in pregnancy—any special care?,Hamal me dengue—khas ehtiyat kya hai?,"Pregnancy needs closer monitoring, hydration, avoidance of NSAIDs, and coordination with obstetric care. (tip 5)","Hamal me qareebi nigrani, hydration, NSAIDs se parhez, aur obstetric care ke sath raptah darkar hota hai. (rehnumai 5)",pregnancy;triage,WHO/CDC guidance; Public health guidance,urgent-care
600,Can dengue occur more than once?,Kya dengue dobara ho sakta hai?,Yes. Different serotypes exist; later infections can be more severe—continue prevention even after recovery. (tip 6),Haan. Mukhtalif serotypes hain; dobara infection zyada shadeed ho sakta hai—sehat ke baad bhi bachav jari rakhein. (rehnumai 6),immunity;risks,WHO/CDC guidance; Public health guidance,general
601,What are early symptoms of dengue?,Dengue ke ibtidaai alamat kya hain?,"Early symptoms include high fever, severe headache, pain behind the eyes, muscle and joint aches, nausea/vomiting, and sometimes rash. Watch closely from days 3–7 when warning signs can appear. (tip 7)","Ibtidaai alamat me tez bukhar, shadeed sar dard, aankh ke peeche dard, joron aur pathon ka dard, ulti/ghabrahat aur kabhi kabhi rash shamil hain. Din 3–7 me khatwarning alamat par nazar rakhein. (rehnumai 7)",symptoms,WHO/CDC guidance; Public health guidance,general
602,What are dengue warning signs that need urgent care?,Kon si khatwarning alamat me foran doctor ko dikhana chahiye?,"Warning signs: severe abdominal pain, persistent vomiting, bleeding (nose/gums, black stools, vomiting blood), fast breathing, extreme tiredness or restlessness, enlarged liver. Seek urgent care. (tip 1)","Khatwarning alamat: shadeed pait ka dard, lagatar ulti, khoon (naak/masoodon se, kaala paikhana, ulti me khoon), tez saans, had se zyada thakan ya bechaini, jigar barhna. Foran doctor ko dikhayen. (rehnumai 1)",warning_signs;triage,WHO/CDC guidance; Public health guidance,urgent-care
603,When should I do the NS1 test for dengue?,Dengue ka NS1 test kis din karwana chahiye?,"NS1 antigen is most useful in illness days 1–5; after that, IgM/IgG or PCR timing should guide testing. (tip 2)",NS1 antigen pehle 1–5 din me sab se mufeed hota hai; is ke baad IgM/IgG ya PCR ke waqt ke mutabiq test hota hai. (rehnumai 2),diagnosis;tests,WHO/CDC guidance; Public health guidance,general
604,Which pain medicine is safe in dengue?,Dengue me kaunsi dard ki dawai mehfooz hai?,"Use paracetamol/acetaminophen as directed. Avoid aspirin, ibuprofen, naproxen and other NSAIDs due to bleeding risk. (tip 3)","Paracetamol/acetaminophen istemal karein. Aspirin, ibuprofen, naproxen aur doosray NSAIDs se parhez kyun ke bleeding ka khatra hota hai. (rehnumai 3)",medications;pain_fever_meds,WHO/CDC guidance; Public health guidance,general
605,How should I hydrate at home with dengue?,Dengue me ghar par pani kaise pura karun?,"Take small frequent sips of oral rehydration solution, water, soups and juices. Track urine color and frequency. (tip 4)","Choti choti matra me baar baar ORS, pani, yakhni aur juices lein. Peshab ka rang aur martaba note karein. (rehnumai 4)",hydration;home_care,WHO/CDC guidance; Public health guidance,general
606,What is the critical phase in dengue?,Dengue me critical phase kya hoti hai?,The 24–48 hours after the fever starts to fall (usually days 3–7). Monitor for warning signs and keep fluids adequate. (tip 5),Bukhar kam honay ke 24–48 ghante (aksar din 3–7) critical phase hoti hai. Khatwarning alamat dekhein aur maye barqarar rakhein. (rehnumai 5),timeline;warning_signs,WHO/CDC guidance; Public health guidance,urgent-care
607,Do I need platelet transfusion in dengue?,Kya dengue me platelet transfusion zaruri hota hai?,"Not routinely. Transfusion decisions depend on active bleeding and clinical judgment, not just the count number. (tip 6)",Aksar nahi. Transfusion ka faisla sirf number par nahi balkeh khuni alamat aur clinical faislay par hota hai. (rehnumai 6),laboratory;platelets,WHO/CDC guidance; Public health guidance,urgent-care
608,Which mosquito spreads dengue and when do they bite?,Dengue kis machar se hota hai aur ye kab kaat-te hain?,"Aedes aegypti/albopictus spread dengue. They bite in daytime, especially early morning and late afternoon—use repellents. (tip 7)","Aedes aegypti/albopictus dengue phailate hain. Ye din me kaat-te hain, khas tor par subah jaldi aur shaam—repellent lagayen. (rehnumai 7)",prevention;vector,WHO/CDC guidance; Public health guidance,general
609,How to remove breeding sites at home?,Ghar me breeding jagon ko kaise khatam karen?,"Weekly: empty/scrub/cover water containers, clear gutters, change vase water, check coolers and tires. (tip 1)","Har hafta: bartanon ko khali/saaf/dhak dein, naliyan saaf karein, phooldan ka pani badlein, coolers aur tyres check karein. (rehnumai 1)",mosquito_control;household,WHO/CDC guidance; Public health guidance,general
610,Is there a specific cure or antiviral for dengue?,Kya dengue ka koi khaas ilaaj ya antiviral hai?,"No specific routine antiviral. Supportive care (fluids, monitoring, treating complications) is the mainstay. (tip 2)","Koi khaas routine antiviral nahi. Supportive care (maye, nigrani, complications ka ilaj) bunyadi hai. (rehnumai 2)",treatment;supportive_care,WHO/CDC guidance; Public health guidance,general
611,Is rash required for dengue diagnosis?,Kya dengue me rash hona zaruri hai?,No. Many patients have rash but not all; rely on overall assessment and appropriate tests. (tip 3),Nahi. Bohat se mareezon me rash hota hai magar sab me nahi; kul muaina aur munasib tests par bharosa karein. (rehnumai 3),diagnosis;symptoms,WHO/CDC guidance; Public health guidance,general
612,What foods are suitable during dengue?,Dengue me kaunsi ghiza munasib hai?,"Light meals, soups, fruits, and easy-to-digest foods. Prioritize fluids; avoid very sugary or caffeinated drinks if they upset the stomach. (tip 4)","Halka khana, yakhni, phal aur asani se hazm honay wali ghiza. Maye ko ahmiyat dein; bohat meetha ya caffeine pait kharab kare to parhez karein. (rehnumai 4)",nutrition;hydration,WHO/CDC guidance; Public health guidance,general
613,When should I go to hospital for dengue?,Dengue me kab hospital jana chahiye?,"If any warning signs appear, if you cannot keep fluids down, have bleeding, severe abdominal pain, drowsiness, or breathing difficulty. (tip 5)","Agar khatwarning alamat aaen, maye na rukain, khoon aaye, shadeed pait dard, neend/susti ya saans me dushwari ho to hospital jayen. (rehnumai 5)",warning_signs;triage,WHO/CDC guidance; Public health guidance,urgent-care
614,Is dengue contagious person-to-person?,Kya dengue seedha aik se doosray insan ko lagta hai?,"Dengue spreads via mosquito bites, not normal casual contact. (tip 6)","Dengue aam mulaqat se nahi, balkay machhar ke kaat se phailta hai. (rehnumai 6)",transmission,WHO/CDC guidance; Public health guidance,general
615,Can I use ibuprofen or aspirin in dengue?,Kya dengue me ibuprofen ya aspirin le sakta hoon?,Avoid ibuprofen/aspirin/other NSAIDs due to bleeding risk. Use paracetamol for fever/pain as directed. (tip 7),Ibuprofen/aspirin/NSAIDs se parhez kyun ke bleeding ka khatra barhta hai. Bukhar/dard ke liye paracetamol istemal karein. (rehnumai 7),medications;contraindicated,WHO/CDC guidance; Public health guidance,general
616,How do doctors monitor labs in dengue?,Doctors dengue me kaun se labs dekhte hain?,"Complete blood count (hematocrit, platelets) and basic chemistries; trends are more important than a single value. (tip 1)","CBC (hematocrit, platelets) aur bunyadi chemistries; aik value se ziyada rawayya (trend) aham hai. (rehnumai 1)",laboratory;monitoring,WHO/CDC guidance; Public health guidance,general
617,What is severe dengue?,Severe dengue kya hota hai?,"Severe dengue involves plasma leakage, bleeding, or organ involvement that may lead to shock—this is a medical emergency. (tip 2)","Severe dengue me plasma leakage, bleeding ya aza ka masla hota hai jo shock tak le ja sakta hai—ye medical emergency hai. (rehnumai 2)",severe;emergency,WHO/CDC guidance; Public health guidance,emergency
618,How to protect children from mosquito bites?,Bachon ko machar ke kaat se kaise bachayen?,"Use age-appropriate repellents, long clothing, screens/bed nets, and remove standing water weekly. (tip 3)","Umar ke mutabiq repellent, lambe kapray, jhalian/bed nets, aur har hafta ruka pani khatam karein. (rehnumai 3)",pediatrics;prevention,WHO/CDC guidance; Public health guidance,general
619,Dengue in pregnancy—any special care?,Hamal me dengue—khas ehtiyat kya hai?,"Pregnancy needs closer monitoring, hydration, avoidance of NSAIDs, and coordination with obstetric care. (tip 4)","Hamal me qareebi nigrani, hydration, NSAIDs se parhez, aur obstetric care ke sath raptah darkar hota hai. (rehnumai 4)",pregnancy;triage,WHO/CDC guidance; Public health guidance,urgent-care
620,Can dengue occur more than once?,Kya dengue dobara ho sakta hai?,Yes. Different serotypes exist; later infections can be more severe—continue prevention even after recovery. (tip 5),Haan. Mukhtalif serotypes hain; dobara infection zyada shadeed ho sakta hai—sehat ke baad bhi bachav jari rakhein. (rehnumai 5),immunity;risks,WHO/CDC guidance; Public health guidance,general
621,What are early symptoms of dengue?,Dengue ke ibtidaai alamat kya hain?,"Early symptoms include high fever, severe headache, pain behind the eyes, muscle and joint aches, nausea/vomiting, and sometimes rash. Watch closely from days 3–7 when warning signs can appear. (tip 6)","Ibtidaai alamat me tez bukhar, shadeed sar dard, aankh ke peeche dard, joron aur pathon ka dard, ulti/ghabrahat aur kabhi kabhi rash shamil hain. Din 3–7 me khatwarning alamat par nazar rakhein. (rehnumai 6)",symptoms,WHO/CDC guidance; Public health guidance,general
622,What are dengue warning signs that need urgent care?,Kon si khatwarning alamat me foran doctor ko dikhana chahiye?,"Warning signs: severe abdominal pain, persistent vomiting, bleeding (nose/gums, black stools, vomiting blood), fast breathing, extreme tiredness or restlessness, enlarged liver. Seek urgent care. (tip 7)","Khatwarning alamat: shadeed pait ka dard, lagatar ulti, khoon (naak/masoodon se, kaala paikhana, ulti me khoon), tez saans, had se zyada thakan ya bechaini, jigar barhna. Foran doctor ko dikhayen. (rehnumai 7)",warning_signs;triage,WHO/CDC guidance; Public health guidance,urgent-care
623,When should I do the NS1 test for dengue?,Dengue ka NS1 test kis din karwana chahiye?,"NS1 antigen is most useful in illness days 1–5; after that, IgM/IgG or PCR timing should guide testing. (tip 1)",NS1 antigen pehle 1–5 din me sab se mufeed hota hai; is ke baad IgM/IgG ya PCR ke waqt ke mutabiq test hota hai. (rehnumai 1),diagnosis;tests,WHO/CDC guidance; Public health guidance,general
624,Which pain medicine is safe in dengue?,Dengue me kaunsi dard ki dawai mehfooz hai?,"Use paracetamol/acetaminophen as directed. Avoid aspirin, ibuprofen, naproxen and other NSAIDs due to bleeding risk. (tip 2)","Paracetamol/acetaminophen istemal karein. Aspirin, ibuprofen, naproxen aur doosray NSAIDs se parhez kyun ke bleeding ka khatra hota hai. (rehnumai 2)",medications;pain_fever_meds,WHO/CDC guidance; Public health guidance,general
625,How should I hydrate at home with dengue?,Dengue me ghar par pani kaise pura karun?,"Take small frequent sips of oral rehydration solution, water, soups and juices. Track urine color and frequency. (tip 3)","Choti choti matra me baar baar ORS, pani, yakhni aur juices lein. Peshab ka rang aur martaba note karein. (rehnumai 3)",hydration;home_care,WHO/CDC guidance; Public health guidance,general
626,What is the critical phase in dengue?,Dengue me critical phase kya hoti hai?,The 24–48 hours after the fever starts to fall (usually days 3–7). Monitor for warning signs and keep fluids adequate. (tip 4),Bukhar kam honay ke 24–48 ghante (aksar din 3–7) critical phase hoti hai. Khatwarning alamat dekhein aur maye barqarar rakhein. (rehnumai 4),timeline;warning_signs,WHO/CDC guidance; Public health guidance,urgent-care
627,Do I need platelet transfusion in dengue?,Kya dengue me platelet transfusion zaruri hota hai?,"Not routinely. Transfusion decisions depend on active bleeding and clinical judgment, not just the count number. (tip 5)",Aksar nahi. Transfusion ka faisla sirf number par nahi balkeh khuni alamat aur clinical faislay par hota hai. (rehnumai 5),laboratory;platelets,WHO/CDC guidance; Public health guidance,urgent-care
628,Which mosquito spreads dengue and when do they bite?,Dengue kis machar se hota hai aur ye kab kaat-te hain?,"Aedes aegypti/albopictus spread dengue. They bite in daytime, especially early morning and late afternoon—use repellents. (tip 6)","Aedes aegypti/albopictus dengue phailate hain. Ye din me kaat-te hain, khas tor par subah jaldi aur shaam—repellent lagayen. (rehnumai 6)",prevention;vector,WHO/CDC guidance; Public health guidance,general
629,How to remove breeding sites at home?,Ghar me breeding jagon ko kaise khatam karen?,"Weekly: empty/scrub/cover water containers, clear gutters, change vase water, check coolers and tires. (tip 7)","Har hafta: bartanon ko khali/saaf/dhak dein, naliyan saaf karein, phooldan ka pani badlein, coolers aur tyres check karein. (rehnumai 7)",mosquito_control;household,WHO/CDC guidance; Public health guidance,general
630,Is there a specific cure or antiviral for dengue?,Kya dengue ka koi khaas ilaaj ya antiviral hai?,"No specific routine antiviral. Supportive care (fluids, monitoring, treating complications) is the mainstay. (tip 1)","Koi khaas routine antiviral nahi. Supportive care (maye, nigrani, complications ka ilaj) bunyadi hai. (rehnumai 1)",treatment;supportive_care,WHO/CDC guidance; Public health guidance,general
631,Is rash required for dengue diagnosis?,Kya dengue me rash hona zaruri hai?,No. Many patients have rash but not all; rely on overall assessment and appropriate tests. (tip 2),Nahi. Bohat se mareezon me rash hota hai magar sab me nahi; kul muaina aur munasib tests par bharosa karein. (rehnumai 2),diagnosis;symptoms,WHO/CDC guidance; Public health guidance,general
632,What foods are suitable during dengue?,Dengue me kaunsi ghiza munasib hai?,"Light meals, soups, fruits, and easy-to-digest foods. Prioritize fluids; avoid very sugary or caffeinated drinks if they upset the stomach. (tip 3)","Halka khana, yakhni, phal aur asani se hazm honay wali ghiza. Maye ko ahmiyat dein; bohat meetha ya caffeine pait kharab kare to parhez karein. (rehnumai 3)",nutrition;hydration,WHO/CDC guidance; Public health guidance,general
633,When should I go to hospital for dengue?,Dengue me kab hospital jana chahiye?,"If any warning signs appear, if you cannot keep fluids down, have bleeding, severe abdominal pain, drowsiness, or breathing difficulty. (tip 4)","Agar khatwarning alamat aaen, maye na rukain, khoon aaye, shadeed pait dard, neend/susti ya saans me dushwari ho to hospital jayen. (rehnumai 4)",warning_signs;triage,WHO/CDC guidance; Public health guidance,urgent-care
634,Is dengue contagious person-to-person?,Kya dengue seedha aik se doosray insan ko lagta hai?,"Dengue spreads via mosquito bites, not normal casual contact. (tip 5)","Dengue aam mulaqat se nahi, balkay machhar ke kaat se phailta hai. (rehnumai 5)",transmission,WHO/CDC guidance; Public health guidance,general
635,Can I use ibuprofen or aspirin in dengue?,Kya dengue me ibuprofen ya aspirin le sakta hoon?,Avoid ibuprofen/aspirin/other NSAIDs due to bleeding risk. Use paracetamol for fever/pain as directed. (tip 6),Ibuprofen/aspirin/NSAIDs se parhez kyun ke bleeding ka khatra barhta hai. Bukhar/dard ke liye paracetamol istemal karein. (rehnumai 6),medications;contraindicated,WHO/CDC guidance; Public health guidance,general
636,How do doctors monitor labs in dengue?,Doctors dengue me kaun se labs dekhte hain?,"Complete blood count (hematocrit, platelets) and basic chemistries; trends are more important than a single value. (tip 7)","CBC (hematocrit, platelets) aur bunyadi chemistries; aik value se ziyada rawayya (trend) aham hai. (rehnumai 7)",laboratory;monitoring,WHO/CDC guidance; Public health guidance,general
637,What is severe dengue?,Severe dengue kya hota hai?,"Severe dengue involves plasma leakage, bleeding, or organ involvement that may lead to shock—this is a medical emergency. (tip 1)","Severe dengue me plasma leakage, bleeding ya aza ka masla hota hai jo shock tak le ja sakta hai—ye medical emergency hai. (rehnumai 1)",severe;emergency,WHO/CDC guidance; Public health guidance,emergency
638,How to protect children from mosquito bites?,Bachon ko machar ke kaat se kaise bachayen?,"Use age-appropriate repellents, long clothing, screens/bed nets, and remove standing water weekly. (tip 2)","Umar ke mutabiq repellent, lambe kapray, jhalian/bed nets, aur har hafta ruka pani khatam karein. (rehnumai 2)",pediatrics;prevention,WHO/CDC guidance; Public health guidance,general
639,Dengue in pregnancy—any special care?,Hamal me dengue—khas ehtiyat kya hai?,"Pregnancy needs closer monitoring, hydration, avoidance of NSAIDs, and coordination with obstetric care. (tip 3)","Hamal me qareebi nigrani, hydration, NSAIDs se parhez, aur obstetric care ke sath raptah darkar hota hai. (rehnumai 3)",pregnancy;triage,WHO/CDC guidance; Public health guidance,urgent-care
640,Can dengue occur more than once?,Kya dengue dobara ho sakta hai?,Yes. Different serotypes exist; later infections can be more severe—continue prevention even after recovery. (tip 4),Haan. Mukhtalif serotypes hain; dobara infection zyada shadeed ho sakta hai—sehat ke baad bhi bachav jari rakhein. (rehnumai 4),immunity;risks,WHO/CDC guidance; Public health guidance,general
641,What are early symptoms of dengue?,Dengue ke ibtidaai alamat kya hain?,"Early symptoms include high fever, severe headache, pain behind the eyes, muscle and joint aches, nausea/vomiting, and sometimes rash. Watch closely from days 3–7 when warning signs can appear. (tip 5)","Ibtidaai alamat me tez bukhar, shadeed sar dard, aankh ke peeche dard, joron aur pathon ka dard, ulti/ghabrahat aur kabhi kabhi rash shamil hain. Din 3–7 me khatwarning alamat par nazar rakhein. (rehnumai 5)",symptoms,WHO/CDC guidance; Public health guidance,general
642,What are dengue warning signs that need urgent care?,Kon si khatwarning alamat me foran doctor ko dikhana chahiye?,"Warning signs: severe abdominal pain, persistent vomiting, bleeding (nose/gums, black stools, vomiting blood), fast breathing, extreme tiredness or restlessness, enlarged liver. Seek urgent care. (tip 6)","Khatwarning alamat: shadeed pait ka dard, lagatar ulti, khoon (naak/masoodon se, kaala paikhana, ulti me khoon), tez saans, had se zyada thakan ya bechaini, jigar barhna. Foran doctor ko dikhayen. (rehnumai 6)",warning_signs;triage,WHO/CDC guidance; Public health guidance,urgent-care
643,When should I do the NS1 test for dengue?,Dengue ka NS1 test kis din karwana chahiye?,"NS1 antigen is most useful in illness days 1–5; after that, IgM/IgG or PCR timing should guide testing. (tip 7)",NS1 antigen pehle 1–5 din me sab se mufeed hota hai; is ke baad IgM/IgG ya PCR ke waqt ke mutabiq test hota hai. (rehnumai 7),diagnosis;tests,WHO/CDC guidance; Public health guidance,general
644,Which pain medicine is safe in dengue?,Dengue me kaunsi dard ki dawai mehfooz hai?,"Use paracetamol/acetaminophen as directed. Avoid aspirin, ibuprofen, naproxen and other NSAIDs due to bleeding risk. (tip 1)","Paracetamol/acetaminophen istemal karein. Aspirin, ibuprofen, naproxen aur doosray NSAIDs se parhez kyun ke bleeding ka khatra hota hai. (rehnumai 1)",medications;pain_fever_meds,WHO/CDC guidance; Public health guidance,general
645,How should I hydrate at home with dengue?,Dengue me ghar par pani kaise pura karun?,"Take small frequent sips of oral rehydration solution, water, soups and juices. Track urine color and frequency. (tip 2)","Choti choti matra me baar baar ORS, pani, yakhni aur juices lein. Peshab ka rang aur martaba note karein. (rehnumai 2)",hydration;home_care,WHO/CDC guidance; Public health guidance,general
646,What is the critical phase in dengue?,Dengue me critical phase kya hoti hai?,The 24–48 hours after the fever starts to fall (usually days 3–7). Monitor for warning signs and keep fluids adequate. (tip 3),Bukhar kam honay ke 24–48 ghante (aksar din 3–7) critical phase hoti hai. Khatwarning alamat dekhein aur maye barqarar rakhein. (rehnumai 3),timeline;warning_signs,WHO/CDC guidance; Public health guidance,urgent-care
647,Do I need platelet transfusion in dengue?,Kya dengue me platelet transfusion zaruri hota hai?,"Not routinely. Transfusion decisions depend on active bleeding and clinical judgment, not just the count number. (tip 4)",Aksar nahi. Transfusion ka faisla sirf number par nahi balkeh khuni alamat aur clinical faislay par hota hai. (rehnumai 4),laboratory;platelets,WHO/CDC guidance; Public health guidance,urgent-care
648,Which mosquito spreads dengue and when do they bite?,Dengue kis machar se hota hai aur ye kab kaat-te hain?,"Aedes aegypti/albopictus spread dengue. They bite in daytime, especially early morning and late afternoon—use repellents. (tip 5)","Aedes aegypti/albopictus dengue phailate hain. Ye din me kaat-te hain, khas tor par subah jaldi aur shaam—repellent lagayen. (rehnumai 5)",prevention;vector,WHO/CDC guidance; Public health guidance,general
649,How to remove breeding sites at home?,Ghar me breeding jagon ko kaise khatam karen?,"Weekly: empty/scrub/cover water containers, clear gutters, change vase water, check coolers and tires. (tip 6)","Har hafta: bartanon ko khali/saaf/dhak dein, naliyan saaf karein, phooldan ka pani badlein, coolers aur tyres check karein. (rehnumai 6)",mosquito_control;household,WHO/CDC guidance; Public health guidance,general
